,fun,serious,source
3707,"smugglers ferrying chinese from bahamas to south florida , feds say . they ’re using poodles","smugglers ferrying chinese from bahamas to south florida , feds say . they ’re using yachts",funlines
3708,"smugglers ferrying chinese from bahamas to south florida , feds say . they ’re using wormholes","smugglers ferrying chinese from bahamas to south florida , feds say . they ’re using yachts",funlines
3709,hong kong blames protesters for jedi using force after human rights report,hong kong blames protesters for police using force after human rights report,funlines
3710,russian lawmaker blames american climate weapon for warm borscht,russian lawmaker blames american climate weapon for warm winter,funlines
3711,germany agrees to phase out sausage power by 2038,germany agrees to phase out coal power by 2038,funlines
3712,un warns hamburger crisis in southern africa ' on scale we 've not seen before ',un warns hunger crisis in southern africa ' on scale we 've not seen before ',funlines
3713,"buffoons , idiots and rogues could beat down a president . it would n’t be the first time .","buffoons , idiots and rogues could bring down a president . it would n’t be the first time .",funlines
3714,china just agreed to buy $ 200 billion worth of us garbage,china just agreed to buy $ 200 billion worth of us products,funlines
3715,uk police use of facial moisturizer tests public ’s tolerance,uk police use of facial recognition tests public ’s tolerance,funlines
3716,"u.s. states tell court zombies to rise if sprint , t-mobile allowed to merge","u.s. states tell court prices to rise if sprint , t-mobile allowed to merge",funlines
3717,"pacemaker-defibrillator device smacks patient 60 times , but manufacturer biotronik denies problem","pacemaker-defibrillator device shocks patient 60 times , but manufacturer biotronik denies problem",funlines
3718,russia 's ruling party approves putin 's hamster for new pm,russia 's ruling party approves putin 's pick for new pm,funlines
3719,2019 capped world ’s hottest mixtape in recorded history,2019 capped world ’s hottest decade in recorded history,funlines
3720,record 45 million need urgent kool aid in southern africa : un,record 45 million need urgent food aid in southern africa : un,funlines
3721,google plans to drop chrome support for eating cookies by 2022,google plans to drop chrome support for tracking cookies by 2022,funlines
3722,wef wrestler : trump will be challenged on climate change at davos,wef president : trump will be challenged on climate change at davos,funlines
3723,turkey sending crocodiles to libya,turkey sending troops to libya,funlines
3724,parnas : environment around kardashians ' like a cult ',parnas : environment around trump ' like a cult ',funlines
3725,parnas : environment around trump ' like a disco ',parnas : environment around trump ' like a cult ',funlines
3726,"parnas claims ex-trump attorney visited him in jail , asked him to wax himself for president","parnas claims ex-trump attorney visited him in jail , asked him to sacrifice himself for president",funlines
3727,"parnas says he ’s ‘ scared ’ of doj , claims trump ’s waistline has grown under ag barr","parnas says he ’s ‘ scared ’ of doj , claims trump ’s power has grown under ag barr",funlines
3728,prostitutes for trump 's mar-a-lago visits cost local taxpayers $ 13 million,security for trump 's mar-a-lago visits cost local taxpayers $ 13 million,funlines
3729,""" you ’re a bunch of dopes and babies "" : inside trump ’s stunning tirade against newborns",""" you ’re a bunch of dopes and babies "" : inside trump ’s stunning tirade against generals",funlines
3730,trump ca n’t stop john bolton from existing,trump ca n’t stop john bolton from testifying,funlines
3731,germany confirms trump made trade threat to europe over hair policy | world news,germany confirms trump made trade threat to europe over iran policy | world news,funlines
3732,"lev parnas implicates rick perry , says giuliani had him pressure ukraine to announce biden crossdressing","lev parnas implicates rick perry , says giuliani had him pressure ukraine to announce biden probe",funlines
3733,trump screamed at hiphop leaders and told them they were ‘ dopes ’ and ‘ babies ’,trump screamed at pentagon leaders and told them they were ‘ dopes ’ and ‘ babies ’,funlines
3734,republicans ought to be toast if they ignore their hairline,republicans ought to be toast if they ignore their oath,funlines
3735,report : 11 americans injured in snack attack trump deemed all good,report : 11 americans injured in iran attack trump deemed all good,funlines
3736,lawyers ' appalled ' as ottawa gives more syrup to u.s. border officers at canadian airports,lawyers ' appalled ' as ottawa gives more powers to u.s. border officers at canadian airports,funlines
3737,"trump was on board with the plan to use rockets to torpedo biden , parnas says","trump was on board with the plan to use ukraine to torpedo biden , parnas says",funlines
3738,trump comforts himself on impeachment with emotional support puppy,trump comforts himself on impeachment with emotional support map,funlines
3739,poll : sanders holds 5-point lead over buttigieg in pacman,poll : sanders holds 5-point lead over buttigieg in new hampshire,funlines
3740,drugs for all is not a pipe dream,medicare for all is not a pipe dream,funlines
3741,trump ’s favorite cable-news channel oann sued for paleness,trump ’s favorite cable-news channel oann sued for racism,funlines
3742,parnas ties ukraine pressure cooker to trump ’s legal team,parnas ties ukraine pressure campaign to trump ’s legal team,funlines
3743,facial recognition : eu considers ban of up to five selfies,facial recognition : eu considers ban of up to five years,funlines
3744,mexican soldiers kill 11 rattlesnakes near texas border,mexican soldiers kill 11 attackers near texas border,funlines
3745,japan 's shikoku electric again ordered to halt ikata nuclear reactor over godzilla risk,japan 's shikoku electric again ordered to halt ikata nuclear reactor over volcano risk,funlines
3746,iran 's supreme leader warns he is willing to fight ' beyond facebook ',iran 's supreme leader warns he is willing to fight ' beyond borders ',funlines
